subj,rel,obj,subj_type,obj_type,cskg,annotator 1,annotator 2,annotator 3,gs
a optimal projection aop,skos:broader/is/hyponym-of,dimensionality reduction,Method,Task,1,0,1,1,1
acoustic event,solves,supervised machine learning,Material,Method,0,0,0,0,0
adaptive action type selection method,uses,deep learning,Method,Method,0,1,0,0,0
adaptive ap,outperforms,cluster analysis,Method,Method,0,1,1,1,1
adaptive boosting,uses,decision tree,Method,Method,1,1,1,1,1
ads dataset,analyzes,cluster analysis,Material,Method,0,0,0,0,0
adversarial example,acquires,supervised machine learning,Material,Method,0,0,0,0,0
aerial monitoring,uses,deep learning,Task,Method,0,1,0,1,1
affective computational model,uses,deep learning,Method,Method,1,1,1,1,1
affinity propagation,skos:broader/is/hyponym-of,cluster analysis,Method,Method,1,1,1,1,1
age related bone development,uses,supervised machine learning,OtherEntity,Method,0,0,0,0,0
ai based system,uses,deep learning,Method,Method,1,1,1,1,1
aircraft design purpose,uses,supervised machine learning,Task,Method,0,0,0,1,0
algorithm approach,solves,cluster analysis,Method,Method,1,0,1,1,1
analysis of multidimensional flows attribute,supports,cluster analysis,Task,Method,1,0,1,1,1
analysis sensitivity,includes,supervised machine learning,OtherEntity,Method,0,0,1,0,0
annotating data,learns,cluster analysis,Task,Method,0,0,0,0,0
annotation term,uses,supervised machine learning,OtherEntity,Method,1,0,1,0,0
anomaly detection,uses,cluster analysis,Task,Method,1,1,1,1,1
anomaly detection,based-on,deep learning,Task,Method,1,1,1,1,1
approximate probabilistic inference method,learns,link prediction,Method,Task,0,0,1,1,1
arabic news story,uses,decision tree,Material,Method,0,0,0,0,0
area ontology,produces,deep learning,OtherEntity,Method,0,0,0,0,0
artificial and realworld datasets,analyzes,decision tree,Material,Method,0,0,0,0,0
artificial intelligence,uses,deep learning,Task,Method,1,1,1,1,1
artificial intelligence,uses,supervised machine learning,Task,Method,1,1,1,1,1
artificial intelligence ai application domain,uses,deep learning,Task,Method,1,1,1,1,1
artificial neural network interface,uses,decision tree,Method,Method,1,0,1,1,1
association rule,produces,decision tree,Method,Method,1,1,1,1,1
associative storage,uses,deep learning,Task,Method,1,1,0,0,0
automated approach,uses,supervised machine learning,Method,Method,1,1,1,1,1
automatic image processing operation,uses,deep learning,Method,Method,1,1,1,1,1
automatic video analysis approach,uses,deep learning,Method,Method,1,1,0,1,1
average of distance,provides,dimensionality reduction,Metric,Task,0,0,0,0,0
average value of accuracy,acquires,supervised machine learning,Metric,Method,0,0,0,0,0
balanced and class imbalanced datasets,analyzes,bayesian classifier,Material,Method,0,0,0,0,0
barrier identifying device,uses,cluster analysis,Method,Method,0,0,0,0,0
base classifier model,manages,decision tree,Method,Method,1,1,1,0,1
base topic model,uses,hierarchical dirichlet process,Method,Method,1,1,1,1,1
basic bayesian classifier,matches,bayesian classifier,Method,Method,1,1,1,1,1
bayesian analysis,analyzes,supervised machine learning,Method,Method,1,0,1,1,1
bayesian classification,skos:broader/is/hyponym-of,bayesian classifier,Method,Method,1,0,1,1,1
bayesian classification,produces,decision tree,Method,Method,1,0,0,1,0
bayesian classifier,uses,computer component,Method,Method,0,1,0,0,0
bayesian classifier,executes,expectation step,Method,Method,0,1,1,0,1
bayesian classifier,solves,incoming speech,Method,Material,1,0,0,0,0
bayesian classifier,uses,membership matrix,Method,OtherEntity,1,1,1,1,1
bayesian classifier,improves,power injection concept,Method,Method,0,0,0,1,0
bayesian classifier,solves,reliability of spectrographic element,Method,OtherEntity,1,0,0,1,0
bayesian classifier,uses,revised probability,Method,OtherEntity,1,1,1,1,1
bayesian network structure,acquires,parameter learning,Method,Method,1,1,1,1,1
behavioral phenotype,uses,cluster analysis,OtherEntity,Method,1,1,0,0,0
benchmarking data,matches,cluster analysis,Material,Method,0,0,0,0,0
benchmarking data,uses,supervised machine learning,Material,Method,0,0,0,0,0
benchmarks datasets,analyzes,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
benchmarks datasets,analyzes,supervised machine learning,OtherEntity,Method,1,0,1,0,0
bengali,uses,deep learning,Material,Method,0,0,0,0,0
big data reading,uses,supervised machine learning,OtherEntity,Method,0,1,0,1,1
binary classification,uses,decision tree,Task,Method,1,1,1,1,1
bioinformatics data,uses,ensemble learning,Material,Method,0,0,1,0,0
biological and computational datasets,uses,supervised machine learning,Material,Method,0,0,0,0,0
biological data mining,uses,pattern classification,Task,Task,1,1,1,1,1
biomedical and clinical domain,uses,supervised machine learning,Material,Method,0,0,1,0,0
biomedical prediction,acquires,cluster analysis,Task,Method,0,1,1,0,1
biometric identification,uses,deep learning,Task,Method,1,1,1,1,1
bit error rate ber simulation,outperforms,deep learning,Metric,Method,0,0,0,0,0
blind receiver,includes,dimensionality reduction,Method,Task,0,1,0,0,0
body response,uses,cluster analysis,OtherEntity,Method,0,0,0,1,0
boundaries estimate,uses,decision tree,Method,Method,1,1,1,1,1
business related application,includes,supervised machine learning,Task,Method,1,1,1,1,1
calcaneus ct image,uses,deep learning,Material,Method,0,0,1,0,0
case base,produces,decision tree,Material,Method,0,0,0,0,0
categorical response data,adapts,cluster analysis,Material,Method,0,0,0,0,0
chaid,skos:broader/is/hyponym-of,decision tree,Method,Method,1,1,1,1,1
change rule,uses,deep learning,OtherEntity,Method,0,0,0,0,0
channel acquisition overhead,learns,supervised machine learning,OtherEntity,Method,0,0,0,0,0
character recognition processing method,based-on,deep learning,Method,Method,1,1,1,1,1
chinese character,uses,pattern classification,Material,Task,0,0,0,0,0
chinese medicine vacuum sample,uses,cluster analysis,Material,Method,0,0,0,0,0
chromaticity component,extracts,cluster analysis,Method,Method,0,0,0,0,0
classification accuracy evaluation,analyzes,dimensionality reduction,Task,Task,1,1,1,1,1
classification rule extraction process,based-on,decision tree,Method,Method,1,1,1,1,1
classificationbased method,uses,decision tree,Method,Method,1,1,1,1,1
classsification problem,uses,decision tree,Task,Method,1,1,1,0,1
cleaned data set,uses,dimensionality reduction,Material,Task,0,0,0,0,0
closed set classification task,acquires,deep learning,Task,Method,0,1,0,1,1
cluster analysis,produces,actor q,Method,Method,0,0,0,1,0
cluster analysis,based-on,adaptive circular filter,Method,Method,0,0,0,1,0
cluster analysis,analyzes,adjacency matrix,Method,OtherEntity,1,1,1,1,1
cluster analysis,includes,agglomerative hierarchical clustering algorithm,Method,Method,1,1,1,1,1
cluster analysis,skos:broader/is/hyponym-of,algebraic and spectral method,Method,Method,1,1,1,0,1
cluster analysis,improves,algorithm convergence analysis,Method,Method,1,1,1,0,1
