subj,rel,obj,subj_type,obj_type,aikg,annotator-1,annotator-2,annotator-3,gs
abstract argument framework,affects,reasoning,Method,Task,1,1,1,1,1
access control policy,uses,web ontology language,Method,Material,1,1,1,1,1
achh,uses,reasoning,Method,Task,0,1,0,0,0
ad hoc network domain,includes,semantic web service discovery,Task,Task,0,0,0,0,0
adsi capable device,executes,reasoning,OtherEntity,Task,0,0,0,0,0
agent institutional society,provides,reasoning,OtherEntity,Task,0,0,0,0,0
agentbased system,uses,reasoning,Method,Task,1,1,1,1,1
aggregate concept,affects,reasoning,OtherEntity,Task,1,0,1,0,0
algebraic law,supports,reasoning,Method,Task,1,1,1,1,1
algorithm approach,solves,reasoning,Method,Task,1,1,1,1,1
amazon machine learning,supports,reasoning,Task,Task,1,1,1,1,1
analogical reasoning,uses,reasoning,Task,Task,1,1,1,1,1
animated example,uses,reasoning,Material,Task,0,0,0,0,0
annotation of complex predicate,includes,reasoning,Task,Task,0,1,1,1,1
annotation term,acquires,reasoning,OtherEntity,Task,0,0,0,0,0
answer set,manages,reasoning,Material,Task,0,0,0,0,0
argumentation semantics,based-on,reasoning,OtherEntity,Task,1,1,1,1,1
artificial intelligence,uses,reasoning,Task,Task,1,1,1,1,1
assembly joint,uses,semantic web rule language,OtherEntity,Method,0,0,1,0,0
association seed based heuristic asbh,supports,linked data,Method,Material,0,0,0,0,0
atomic instruction,supports,reasoning,OtherEntity,Task,1,0,1,1,1
attentive comment,provides,reasoning,OtherEntity,Task,0,0,0,0,0
augmented logic program,uses,reasoning,Method,Task,1,1,1,1,1
automated theorem proving,provides,reasoning,Task,Task,1,1,1,1,1
automatic recognition of handwritten digit,based-on,reasoning,Task,Task,0,1,1,1,1
automation,guides,reasoning,Task,Task,1,1,1,1,1
automation client,manages,semantic web service discovery,OtherEntity,Task,0,0,0,0,0
automatizable method,uses,reasoning,Method,Task,1,1,0,0,0
axiomatization,skos:broader/is/hyponym-of,reasoning,Method,Task,1,1,0,1,1
b rep,produces,reasoning,Method,Task,1,1,1,1,1
bayesian analysis,provides,reasoning,Method,Task,1,1,1,1,1
bayesian network structure,provides,reasoning,Method,Task,1,1,1,1,1
benchmarking procedure,based-on,sparql,Method,Method,1,1,1,1,1
bin confidence score,includes,web ontology language,OtherEntity,Material,0,0,0,0,0
bisimulation,limits,rdf graph,Method,Material,0,1,1,1,1
c sparql query,manages,linked data,Material,Material,0,1,0,0,0
calculus repro,classifies,reasoning,Method,Task,1,1,0,0,0
case based reasoning,skos:broader/is/hyponym-of,reasoning,Method,Task,1,1,0,1,1
cellular automaton,adapts,reasoning,Method,Task,1,1,1,1,1
cem specification,uses,web ontology language,OtherEntity,Material,1,1,1,1,1
channel topology,supports,reasoning,OtherEntity,Task,0,0,0,0,0
chr rule,matches,reasoning,Method,Task,1,1,1,1,1
classification of specific theme,uses,reasoning,Task,Task,0,0,1,0,0
clips production rule system,includes,rdf data,Method,Material,0,1,1,1,1
common lisp compiler,executes,reasoning,Method,Task,0,1,1,1,1
commonsense knowledgebases,uses,linked data,Material,Material,0,1,0,0,0
complex maintenance programs quantification,supports,reasoning,Task,Task,0,1,0,0,0
computational model,analyzes,reasoning,Method,Task,1,1,1,1,1
computational overhead,matches,reasoning,Metric,Task,0,0,0,0,0
computer program,executes,reasoning,Method,Task,1,1,1,1,1
computer software program logic,adapts,reasoning,OtherEntity,Task,0,0,1,0,0
conceal secret data,based-on,reasoning,Material,Task,0,0,0,0,0
constrained matrix factorization problem,supports,reasoning,Task,Task,0,1,1,1,1
context aware system concept,executes,reasoning,OtherEntity,Task,0,0,0,0,0
control and guiding mechanism,produces,reasoning,Method,Task,0,1,1,0,1
cooperative action,uses,reasoning,Method,Task,1,1,1,1,1
cooperative relaying scheme,skos:broader/is/hyponym-of,web ontology language,Method,Material,0,1,0,0,0
countmin,affects,linked data,Metric,Material,0,0,0,0,0
csscd,skos:broader/is/hyponym-of,semantic web service discovery,Task,Task,0,0,0,0,0
cutset tuples,uses,reasoning,OtherEntity,Task,0,0,0,0,0
dassa,produces,reasoning,Method,Task,0,0,0,0,0
data collection solution,uses,wikidata,Method,Material,1,1,1,1,1
data query language,supports,reasoning,Material,Task,1,1,1,1,1
dbpedia,provides,arabic dbpedia,Material,Material,0,1,1,1,1
dbpedia,skos:broader/is/hyponym-of,data source data,Material,Material,1,1,0,1,1
